country_name,operational_cycle,sector_name,total_orders,total_impersonated,pct_impersonated,pct_autonomia
ARGENTINA,202606,ACUARELA - 1410 ,33,0,0,100
ARGENTINA,202606,MISTRAL - 1440,31,0,0,100
ARGENTINA,202606,SUE��OS - 1197,37,0,0
ARGENTINA,202606,FELICIDAD - 1348,38,0,0,100
ARGENTINA,202606,SOL - 450,45,0,0,100
ARGENTINA,202606,APOLO - 913 ,57,0,0,100
ARGENTINA,202606,PRISMA - 1250 ,39,0,0,100
ARGENTINA,202606,FLUIR - 421,33,0,0,100
ARGENTINA,202606,FLORECER - 1304,40,0,0,100
ARGENTINA,202606,BERMEJO - 792,27,0,0,100
ARGENTINA,202606,PARA��SO - 1498,16,0,0
ARGENTINA,202606,KRIY�� - 1260,36,0,0
ARGENTINA,202606,BOM DIA - 1360,51,0,0,100
ARGENTINA,202606,ANDORINA - 1506,15,0,0,100
ARGENTINA,202606,MELODIAS - 1218 ,64,0,0,100
ARGENTINA,202606,MERAKI - 1282,42,0,0,100
ARGENTINA,202606,VIOLETA - 1546,45,0,0,100
ARGENTINA,202606,FRESIA - 825,48,0,0,100
ARGENTINA,202606,AQUARIUS - 486 ,39,0,0,100
ARGENTINA,202606,DESEADO - 793,69,0,0,100
ARGENTINA,202606,DALILA - 480 ,53,0,0,100
ARGENTINA,202606,LIBRA - 1396,50,0,0,100
ARGENTINA,202606,AMAPOLA - 1299 ,43,0,0,100
ARGENTINA,202606,ARTEMIS - 892,61,0,0,100
ARGENTINA,202606,FLOR DE LOTO - 1334,44,0,0,100
ARGENTINA,202606,ORFEO - 1255,35,0,0,100
ARGENTINA,202606,AFRODITA - 436 ,56,0,0,100
ARGENTINA,202606,LILIUM - 1458,5,0,0,100
ARGENTINA,202606,URANO - 790 ,42,0,0,100
ARGENTINA,202606,CALENA - 1479,12,0,0,100
ARGENTINA,202606,ALEGRA - 301,35,0,0,100
ARGENTINA,202606,LUCI��RNAGA - 1521,23,0,0
ARGENTINA,202606,SATURNO - 451 ,44,0,0,100
ARGENTINA,202606,TREBOL - 1253,43,0,0,100
ARGENTINA,202606,NUNCHI - 1329 ,61,0,0,100
ARGENTINA,202606,ECUESTRE - 721 ,36,0,0,100
ARGENTINA,202606,CACTUS - 1366 ,45,0,0,100
ARGENTINA,202606,ONIX - 1276,35,0,0,100
ARGENTINA,202606,CELESTE MAR - 438,59,0,0,100
ARGENTINA,202606,YUNGAS - 1399 ,43,0,0,100
ARGENTINA,202606,ARROYO - 1509,17,0,0,100
ARGENTINA,202606,ATLANTIS - 797,36,0,0,100
ARGENTINA,202606,PEGASO - 1184,37,0,0,100
ARGENTINA,202606,JADE - 460 ,60,0,0,100
ARGENTINA,202606,CEIBO - 859,56,0,0,100
ARGENTINA,202606,MANDALA - 993,37,0,0,100
ARGENTINA,202606,APASIONADOS - 1317,52,0,0,100
ARGENTINA,202606,ZEUS - 1171,97,0,0,100
ARGENTINA,202606,ALQUIMIA - 1482,33,0,0,100
ARGENTINA,202606,AMBAR - 1279 ,45,0,0,100
ARGENTINA,202606,JAZBA - 1430,0,0,null,null
ARGENTINA,202606,TOPACIO - 1456,0,0,null,null
ARGENTINA,202606,CHAITEN - 447,0,0,null,null
ARGENTINA,202606,SECTOR COLABORADOR EN VD,0,0,null,null
ARGENTINA,202606,GIRASOL - 1484,0,0,null,null
ARGENTINA,202606,UBUNTU - 1537,0,0,null,null
ARGENTINA,202606,PAMPA - 1520,0,0,null,null
ARGENTINA,202606,ALERCE - 1504,0,0,null,null
ARGENTINA,202605,ADONIS - 488 ,468,135,28.846153846153843,71.15384615384616
ARGENTINA,202605,SUYAI - 1269 ,541,133,24.58410351201479,75.41589648798521
ARGENTINA,202605,ECUESTRE - 721 ,547,129,23.583180987202926,76.41681901279708
ARGENTINA,202605,CHIVILCOY - 963,599,139,23.205342237061767,76.79465776293823
ARGENTINA,202605,SALMA - 1288,279,62,22.22222222222222,77.77777777777777
ARGENTINA,202605,RIZOMA - 1536,299,61,20.401337792642142,79.59866220735786
ARGENTINA,202605,INDIGO - 1384,315,63,20,80
ARGENTINA,202605,HEIYMA - 1382,430,83,19.302325581395348,80.69767441860465
ARGENTINA,202605,HANA - 1451,145,27,18.620689655172416,81.37931034482759
ARGENTINA,202605,GAMAN - 462,590,108,18.305084745762713,81.69491525423729
ARGENTINA,202605,HUEPIL - 1268 ,529,95,17.958412098298677,82.04158790170132
ARGENTINA,202605,NINFAS - 753 ,574,98,17.073170731707318,82.92682926829268
ARGENTINA,202605,ALFA - 826,388,66,17.010309278350515,82.98969072164948
ARGENTINA,202605,RUBI - 1241,153,26,16.99346405228758,83.00653594771242
ARGENTINA,202605,YAGUAR��N - 1216 ,390,64,16.41025641025641,83.5897435897
ARGENTINA,202605,HORIZONTE - 1266,410,67,16.34146341463415,83.65853658536585
ARGENTINA,202605,MELODIAS - 1218 ,498,78,15.66265060240964,84.33734939759036
ARGENTINA,202605,LANIN - 982,155,24,15.483870967741936,84.51612903225806
ARGENTINA,202605,BELEZA - 1431,584,88,15.068493150684931,84.93150684931507
ARGENTINA,202605,OLAS - 946,336,50,14.880952380952381,85.11904761904762
ARGENTINA,202605,PRISMA - 1250 ,405,59,14.5679012345679,85.4320987654321
ARGENTINA,202605,MAYARI - 1259,544,79,14.522058823529413,85.47794117647058
ARGENTINA,202605,PURA VIDA - 884,314,45,14.331210191082802,85.6687898089172
ARGENTINA,202605,FELICIDAD - 1348,677,93,13.737075332348597,86.2629246676514
ARGENTINA,202605,��ANDUBAY - 972,684,93,13.596491228070176,86.4035087719
ARGENTINA,202605,TIYUCA - 1195,493,67,13.590263691683571,86.40973630831643
ARGENTINA,202605,LILAH - 1316,303,41,13.531353135313532,86.46864686468646
ARGENTINA,202605,AVE FENIX - 1186,422,57,13.507109004739338,86.49289099526067
ARGENTINA,202605,ALGODON - 1447,90,12,13.333333333333334,86.66666666666667
ARGENTINA,202605,ANGEL - 1408,534,71,13.295880149812733,86.70411985018727
ARGENTINA,202605,CONJURO - 1232,536,71,13.246268656716417,86.75373134328359
ARGENTINA,202605,IMPETU - 1318,479,63,13.152400835073069,86.84759916492693
ARGENTINA,202605,TRIGAL - 930 ,569,74,13.005272407732866,86.99472759226714
ARGENTINA,202605,BERMEJO - 792,477,62,12.997903563941298,87.00209643605871
ARGENTINA,202605,LIVIA - 1339,664,86,12.951807228915662,87.04819277108433
ARGENTINA,202605, QUINA - 992,569,73,12.82952548330404,87.17047451669596
ARGENTINA,202605,ECLIPSE - 1510,289,37,12.802768166089965,87.19723183391004
ARGENTINA,202605,GUEMBE - 1496,86,11,12.790697674418606,87.20930232558139
ARGENTINA,202605,ACACIA - 1278,323,41,12.693498452012383,87.30650154798762
ARGENTINA,202605,ALIHUEN - 800 ,520,66,12.692307692307692,87.3076923076923
ARGENTINA,202605,ARTEMIS - 892,537,68,12.66294227188082,87.33705772811918
ARGENTINA,202605,BUZIOS - 429,353,44,12.464589235127479,87.53541076487252
ARGENTINA,202605,PEPERINA - 991,507,63,12.42603550295858,87.57396449704142
ARGENTINA,202605,RUMBA - 1254 ,508,63,12.401574803149607,87.5984251968504
ARGENTINA,202605,ESENCIA - 1226,138,17,12.318840579710146,87.68115942028986
ARGENTINA,202605,SHINCAL - 1345,368,45,12.228260869565217,87.77173913043478
ARGENTINA,202605,ZEUS - 1171,638,78,12.225705329153605,87.77429467084639
ARGENTINA,202605,MAGENTA - 1443,377,46,12.20159151193634,87.79840848806366
ARGENTINA,202605,YVOTY - 1289,156,19,12.179487179487179,87.82051282051282
ARGENTINA,202605,ATENEA - 419 ,468,57,12.179487179487179,87.82051282051282
ARGENTINA,202605,AQUARIUS - 486 ,454,55,12.114537444933921,87.88546255506608
ARGENTINA,202605,AGATA - 1330,373,45,12.064343163538874,87.93565683646112
ARGENTINA,202605,AZUCENAS - 1406,275,33,12,88
ARGENTINA,202605,CACTUS - 1366 ,467,56,11.991434689507495,88.0085653104925
ARGENTINA,202605,MIRRA - 1322,443,53,11.963882618510159,88.03611738148985
ARGENTINA,202605,SUPER NOVA - 484,492,58,11.788617886178862,88.21138211382114
ARGENTINA,202605,DUENDES - 811,543,64,11.786372007366483,88.21362799263352
ARGENTINA,202605,CONEXI��N - 1229,259,30,11.583011583011583,88.4169884169
ARGENTINA,202605,KUARAHY - 1300,156,18,11.538461538461538,88.46153846153847
ARGENTINA,202605,CONQUISTADORAS - 1516,566,65,11.484098939929329,88.51590106007068
ARGENTINA,202605,CERES - 820,559,64,11.449016100178891,88.5509838998211
ARGENTINA,202605,VIDA - 1413,150,17,11.333333333333332,88.66666666666667
ARGENTINA,202605,LADA - 1393,296,33,11.14864864864865,88.85135135135135
ARGENTINA,202605,MOTIVOS - 1308 ,452,50,11.061946902654867,88.93805309734513
ARGENTINA,202605,MAGARI - 1481,482,53,10.995850622406639,89.00414937759336
ARGENTINA,202605,MANANTIAL - 769 ,555,61,10.99099099099099,89.009009009009
ARGENTINA,202605,PARA��SO - 1498,394,43,10.913705583756345,89.0862944162
ARGENTINA,202605,TREBOL - 1253,450,49,10.888888888888888,89.11111111111111
ARGENTINA,202605,ALQUIMIA - 1482,506,55,10.869565217391305,89.13043478260869
ARGENTINA,202605,HEBE - 481,492,53,10.772357723577237,89.22764227642276
ARGENTINA,202605,CORAL - 461,396,42,10.606060606060606,89.39393939393939
ARGENTINA,202605,LILIUM - 1458,462,49,10.606060606060606,89.39393939393939
ARGENTINA,202605,FUGAZ - 1505,510,54,10.588235294117647,89.41176470588235
ARGENTINA,202605,SAMSARA - 1335,550,58,10.545454545454545,89.45454545454545
ARGENTINA,202605,ACUARELA - 1410 ,326,34,10.429447852760736,89.57055214723927
ARGENTINA,202605,PATRIA - 1544,135,14,10.37037037037037,89.62962962962963
ARGENTINA,202605,PISCIS - 1174 ,484,50,10.330578512396695,89.6694214876033
ARGENTINA,202605,OLIVO - 1535,243,25,10.2880658436214,89.7119341563786
ARGENTINA,202605,LIBRA - 1396,380,39,10.263157894736842,89.73684210526315
ARGENTINA,202605,FLORECER - 1304,405,41,10.123456790123457,89.87654320987654
ARGENTINA,202605,FLOR DE LOTO - 1334,486,49,10.08230452674897,89.91769547325103
ARGENTINA,202605,INSPIRACION - 1492,80,8,10,90
ARGENTINA,202605,RENACER - 1402,240,24,10,90
ARGENTINA,202605,ALEGRA - 301,562,56,9.9644128113879,90.0355871886121
ARGENTINA,202605,LIRIOS - 1376,594,59,9.932659932659933,90.06734006734007
ARGENTINA,202605,LA PONDEROSA - 814 ,618,61,9.870550161812297,90.1294498381877
ARGENTINA,202605,SELVA - 1187,145,14,9.655172413793103,90.34482758620689
ARGENTINA,202605,CARM��N - 1525,115,11,9.565217391304348,90.4347826086
ARGENTINA,202605,ESTRELLA - 1531,252,24,9.523809523809524,90.47619047619048
ARGENTINA,202605,ORFEO - 1255,295,28,9.491525423728813,90.50847457627118
ARGENTINA,202605,UTOPIA - 1210,246,23,9.34959349593496,90.65040650406505
ARGENTINA,202605,APOLO - 913 ,407,38,9.336609336609335,90.66339066339066
ARGENTINA,202605,ATLANTIS - 797,440,41,9.318181818181818,90.68181818181819
ARGENTINA,202605,CALIZ - 1274,540,50,9.25925925925926,90.74074074074073
ARGENTINA,202605,LUCI��RNAGA - 1521,486,45,9.25925925925926,90.7407407407
ARGENTINA,202605,MARIPOSA - 1452,130,12,9.230769230769232,90.76923076923077
ARGENTINA,202605,CRUZ DEL SUR - 453,585,54,9.230769230769232,90.76923076923077
ARGENTINA,202605,YARASOL - 1499,141,13,9.219858156028367,90.78014184397163
ARGENTINA,202605,PRELUDIO - 1277 ,446,41,9.192825112107624,90.80717488789237
ARGENTINA,202605,MARBELLA - 1470,186,17,9.13978494623656,90.86021505376344
ARGENTINA,202605,JAZM��N- 408,187,17,9.090909090909092,90.909090909
ARGENTINA,202605,PASION - 1353,278,25,8.992805755395683,91.00719424460432
ARGENTINA,202605,NUMA - 1507,249,22,8.835341365461847,91.16465863453816
ARGENTINA,202605,SATURNO - 451 ,476,42,8.823529411764707,91.17647058823529
ARGENTINA,202605,GENESIS - 1468,415,36,8.674698795180722,91.32530120481928
ARGENTINA,202605,YUNGAS - 1399 ,546,47,8.608058608058608,91.39194139194139
ARGENTINA,202605,KRIY�� - 1260,491,42,8.55397148676171,91.4460285132
ARGENTINA,202605,NAMAST�� - 1201,129,11,8.527131782945736,91.4728682170
ARGENTINA,202605,DALILA - 480 ,516,44,8.527131782945736,91.47286821705427
ARGENTINA,202605,DESTINO - 1272,399,34,8.521303258145362,91.47869674185463
ARGENTINA,202605,BORBOLETAS - 732,447,38,8.501118568232663,91.49888143176733
ARGENTINA,202605,PANGEA - 986,607,51,8.40197693574959,91.59802306425041
ARGENTINA,202605,MISTOL - 1372,311,26,8.360128617363344,91.63987138263666
ARGENTINA,202605,AMAPOLA - 1299 ,419,35,8.353221957040573,91.64677804295943
ARGENTINA,202605,OASIS - 1381,229,19,8.296943231441048,91.70305676855895
ARGENTINA,202605,TROPICAL - 1364,243,20,8.23045267489712,91.76954732510288
ARGENTINA,202605,ONIX - 1276,482,39,8.091286307053942,91.90871369294607
ARGENTINA,202605,ALBIGASTA - 1307,285,23,8.070175438596491,91.9298245614035
ARGENTINA,202605,PEGASO - 1184,535,43,8.037383177570094,91.96261682242991
ARGENTINA,202605,SIGEL - 1212,312,25,8.012820512820513,91.98717948717949
ARGENTINA,202605,AMAYA - 1524,125,10,8,92
ARGENTINA,202605,FRESIA - 825,452,36,7.964601769911504,92.03539823008849
ARGENTINA,202605,SEYA - 1508,315,24,7.6190476190476195,92.38095238095238
ARGENTINA,202605,CRISTAL - 925,474,36,7.59493670886076,92.40506329113924
ARGENTINA,202605,OSADIA - 1227 ,388,29,7.474226804123711,92.52577319587628
ARGENTINA,202605, VIENTO PAMPERO - 919,513,38,7.4074074074074066,92.5925925925926
ARGENTINA,202605,ANDROMEDA - 485,668,49,7.335329341317365,92.66467065868264
ARGENTINA,202605,AIMAH�� - 1445,297,21,7.07070707070707,92.9292929292
ARGENTINA,202605,CEIBO - 859,499,35,7.014028056112225,92.98597194388778
ARGENTINA,202605,ROSA MOSQUETA - 448,634,43,6.782334384858044,93.21766561514195
ARGENTINA,202605,ABUNDANCIA - 1444,342,23,6.725146198830409,93.2748538011696
ARGENTINA,202605,SAR��YU - 1333,164,11,6.707317073170732,93.2926829268
ARGENTINA,202605,SOL - 450,522,35,6.704980842911877,93.29501915708812
ARGENTINA,202605,COLUMBA - 1182,407,27,6.6339066339066335,93.36609336609337
ARGENTINA,202605,ESTELAR - 1323,306,20,6.535947712418301,93.4640522875817
ARGENTINA,202605,BAMBU - 1485,353,23,6.515580736543909,93.48441926345609
ARGENTINA,202605,LAS HORQUETAS - 1374,200,13,6.5,93.5
ARGENTINA,202605,INDICO - 700 ,247,16,6.477732793522267,93.52226720647774
ARGENTINA,202605,LOIRA - 1442,371,24,6.46900269541779,93.53099730458221
ARGENTINA,202605,Andina - 1346,233,15,6.437768240343347,93.56223175965665
ARGENTINA,202605,MECA - 1190,389,25,6.426735218508997,93.573264781491
ARGENTINA,202605,ACTITUD - 1356,722,46,6.3711911357340725,93.62880886426592
ARGENTINA,202605,TURQUESA - 1326,157,10,6.369426751592357,93.63057324840764
ARGENTINA,202605,NATURAL - 917,333,21,6.306306306306306,93.69369369369369
ARGENTINA,202605,INFINITA - 1196,318,20,6.289308176100629,93.71069182389937
ARGENTINA,202605,AMATISTA - 952,482,30,6.224066390041494,93.7759336099585
ARGENTINA,202605,NUNCHI - 1329 ,483,30,6.211180124223603,93.7888198757764
ARGENTINA,202605,SUE��OS - 1197,711,44,6.188466947960619,93.8115330520
ARGENTINA,202605,TAO - 468,388,24,6.185567010309279,93.81443298969072
ARGENTINA,202605,ALEGRIA - 1501,243,15,6.172839506172839,93.82716049382717
ARGENTINA,202605,COLIBRI - 458,276,17,6.159420289855073,93.84057971014492
ARGENTINA,202605,MAHUIDAS - 973,641,39,6.084243369734789,93.91575663026521
ARGENTINA,202605,CREPUSCULO - 1224,315,19,6.031746031746032,93.96825396825398
ARGENTINA,202605,SEMILLAS - 1221,631,38,6.022187004754358,93.97781299524564
ARGENTINA,202605,RIO SALADO - 943,482,29,6.016597510373444,93.98340248962656
ARGENTINA,202605,TRINDADE - 1373,133,8,6.015037593984962,93.98496240601504
ARGENTINA,202605,FLUIR - 421,536,32,5.970149253731343,94.02985074626866
ARGENTINA,202605,TERRA - 1446,118,7,5.932203389830509,94.0677966101695
ARGENTINA,202605,MELIQUINA - 907,254,15,5.905511811023622,94.09448818897638
ARGENTINA,202605,ARCO IRIS - 1362 ,458,27,5.895196506550218,94.10480349344978
ARGENTINA,202605,TRES MARIAS - 951,238,14,5.88235294117647,94.11764705882354
ARGENTINA,202605,DAKINI- 736,442,26,5.88235294117647,94.11764705882354
ARGENTINA,202605,MISTRAL - 1440,376,22,5.851063829787234,94.14893617021276
ARGENTINA,202605,LATIDOS - 1420,274,16,5.839416058394161,94.16058394160584
ARGENTINA,202605,EMUNA - 1192,361,21,5.8171745152354575,94.18282548476455
ARGENTINA,202605,ACANTILADOS - 465,361,21,5.8171745152354575,94.18282548476455
